Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.twoside	Bladder	831	4	0.765806455558374	1	ENSG00000170421:ENSG00000260027:ENSG00000121104:ENSG00000167641
DEG.twoside	Blood	7030	50	0.132260454953637	1	ENSG00000133056:ENSG00000170382:ENSG00000110092:ENSG00000149716:ENSG00000170421:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000005243:ENSG00000002919:ENSG00000141293:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000260027:ENSG00000159199:ENSG00000159202:ENSG00000173868:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000005882:ENSG00000167641:ENSG00000167644:ENSG00000115504:ENSG00000014641:ENSG00000168906:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000203896:ENSG00000125520:ENSG00000130584:ENSG00000100290:ENSG00000083937:ENSG00000163611:ENSG00000072858:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000175003:ENSG00000164715:ENSG00000254087
DEG.twoside	Blood_Vessel	3624	24	0.402932650291316	1	ENSG00000170382:ENSG00000110092:ENSG00000259207:ENSG00000178852:ENSG00000005243:ENSG00000108511:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000011332:ENSG00000167641:ENSG00000167644:ENSG00000188766:ENSG00000142515:ENSG00000258366:ENSG00000130584:ENSG00000083937:ENSG00000136603:ENSG00000013297:ENSG00000163110:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000167034
DEG.twoside	Brain	7298	38	0.938018769788627	1	ENSG00000198625:ENSG00000170382:ENSG00000180176:ENSG00000110092:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000005243:ENSG00000173917:ENSG00000260027:ENSG00000136436:ENSG00000064300:ENSG00000121104:ENSG00000005884:ENSG00000011332:ENSG00000167644:ENSG00000188766:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000197457:ENSG00000125520:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000072858:ENSG00000136603:ENSG00000013297:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000183117:ENSG00000254087:ENSG00000181690
DEG.twoside	Breast	2340	11	0.876808980422687	1	ENSG00000173917:ENSG00000120093:ENSG00000260027:ENSG00000120068:ENSG00000064300:ENSG00000142515:ENSG00000091409:ENSG00000100290:ENSG00000163611:ENSG00000113430:ENSG00000183807
DEG.twoside	Cervix_Uteri	2558	18	0.324564929106844	1	ENSG00000198625:ENSG00000149716:ENSG00000173917:ENSG00000120093:ENSG00000260027:ENSG00000167645:ENSG00000115504:ENSG00000115486:ENSG00000091409:ENSG00000258366:ENSG00000101246:ENSG00000206530:ENSG00000163611:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000181690
DEG.twoside	Colon	2352	24	0.0092968097766644	0.278904293299932	ENSG00000170382:ENSG00000170421:ENSG00000167695:ENSG00000259207:ENSG00000141293:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000159182:ENSG00000159184:ENSG00000170703:ENSG00000167080:ENSG00000174562:ENSG00000115504:ENSG00000130584:ENSG00000100290:ENSG00000013297:ENSG00000183807:ENSG00000153814:ENSG00000206579:ENSG00000254087
DEG.twoside	Esophagus	2473	13	0.783371028712248	1	ENSG00000170421:ENSG00000141293:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000260027:ENSG00000115504:ENSG00000100290:ENSG00000072858:ENSG00000013297:ENSG00000113430:ENSG00000254087:ENSG00000181690
DEG.twoside	Fallopian_Tube	452	2	0.77593904955081	1	ENSG00000260027:ENSG00000101216
DEG.twoside	Heart	8709	47	0.928201350181244	1	ENSG00000133056:ENSG00000198625:ENSG00000149716:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000259207:ENSG00000178852:ENSG00000141279:ENSG00000002919:ENSG00000173917:ENSG00000120093:ENSG00000159202:ENSG00000159210:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167642:ENSG00000167641:ENSG00000167644:ENSG00000167645:ENSG00000115504:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000197114:ENSG00000203896:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000013297:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000205356:ENSG00000254087
DEG.twoside	Kidney	5895	37	0.51039296715196	1	ENSG00000133056:ENSG00000198625:ENSG00000170382:ENSG00000170421:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000141279:ENSG00000005243:ENSG00000141293:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000170703:ENSG00000167080:ENSG00000173868:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167642:ENSG00000115504:ENSG00000118640:ENSG00000152256:ENSG00000101216:ENSG00000203896:ENSG00000013297:ENSG00000163110:ENSG00000168769:ENSG00000153814:ENSG00000164715:ENSG00000205356:ENSG00000254087
DEG.twoside	Liver	8286	51	0.579328084786254	1	ENSG00000133056:ENSG00000198625:ENSG00000149716:ENSG00000170421:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000259207:ENSG00000178852:ENSG00000141279:ENSG00000005243:ENSG00000002919:ENSG00000141293:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000136436:ENSG00000159202:ENSG00000159210:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000005882:ENSG00000167642:ENSG00000167641:ENSG00000115504:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000203896:ENSG00000130584:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000175003:ENSG00000153814:ENSG00000164715:ENSG00000205356:ENSG00000254087
DEG.twoside	Lung	3849	24	0.533073157349863	1	ENSG00000133056:ENSG00000110092:ENSG00000170421:ENSG00000111057:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000064300:ENSG00000005884:ENSG00000005882:ENSG00000167642:ENSG00000167641:ENSG00000167644:ENSG00000167645:ENSG00000115504:ENSG00000115486:ENSG00000118640:ENSG00000243509:ENSG00000136603:ENSG00000168769:ENSG00000183807:ENSG00000180535:ENSG00000205356:ENSG00000254087
DEG.twoside	Muscle	6972	43	0.565814397251114	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000149716:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000259207:ENSG00000002919:ENSG00000173917:ENSG00000120093:ENSG00000260027:ENSG00000159202:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000005882:ENSG00000167641:ENSG00000167644:ENSG00000167645:ENSG00000115504:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000197114:ENSG00000203896:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000205356
